Tanggal,Komoditas,Harga,Sumber
2021-02-02,gula_pasir_curah,13500.0,PIHPS
2021-02-02,gula_pasir_kemasan,15500.0,PIHPS
2021-02-02,minyak_goreng_sawit_curah,13500.0,PIHPS
2021-02-02,minyak_goreng_sawit_kemasan_premium,17500.0,PIHPS
2021-02-02,telur_ayam_ras,22500.0,PIHPS
2021-02-03,bawang_merah,30000.0,PIHPS
2021-02-03,bawang_putih_honan,25000.0,PIHPS
2021-02-03,beras_medium,10000.0,PIHPS
2021-02-03,beras_premium,12000.0,PIHPS
2021-02-03,cabai_merah_besar,50000.0,PIHPS
2021-02-03,cabai_merah_keriting,55000.0,PIHPS
2021-02-03,cabai_rawit_merah,64500.0,PIHPS
2021-02-03,daging_ayam_ras,40000.0,PIHPS
2021-02-03,daging_sapi_paha_belakang,120000.0,PIHPS
2021-02-03,daging_sapi_paha_depan,120000.0,PIHPS
2021-02-03,gula_pasir_curah,13500.0,PIHPS
2021-02-03,gula_pasir_kemasan,15500.0,PIHPS
2021-02-03,minyak_goreng_sawit_curah,13500.0,PIHPS
2021-02-03,minyak_goreng_sawit_kemasan_premium,17500.0,PIHPS
2021-02-03,telur_ayam_ras,22500.0,PIHPS
2021-02-04,bawang_merah,30000.0,PIHPS
2021-02-04,bawang_putih_honan,25000.0,PIHPS
2021-02-04,beras_medium,10000.0,PIHPS
2021-02-04,beras_premium,12000.0,PIHPS
2021-02-04,cabai_merah_besar,50000.0,PIHPS
2021-02-04,cabai_merah_keriting,55000.0,PIHPS
2021-02-04,cabai_rawit_merah,64500.0,PIHPS
2021-02-04,daging_ayam_ras,39000.0,PIHPS
2021-02-04,daging_sapi_paha_belakang,120000.0,PIHPS
2021-02-04,daging_sapi_paha_depan,120000.0,PIHPS
2021-02-04,gula_pasir_curah,13500.0,PIHPS
2021-02-04,gula_pasir_kemasan,15500.0,PIHPS
2021-02-04,minyak_goreng_sawit_curah,13500.0,PIHPS
2021-02-04,minyak_goreng_sawit_kemasan_premium,17500.0,PIHPS
2021-02-04,telur_ayam_ras,22500.0,PIHPS
2021-02-05,bawang_merah,30000.0,PIHPS
2021-02-05,bawang_putih_honan,25000.0,PIHPS
2021-02-05,beras_medium,10000.0,PIHPS
2021-02-05,beras_premium,12000.0,PIHPS
2021-02-05,cabai_merah_besar,50000.0,PIHPS
2021-02-05,cabai_merah_keriting,55000.0,PIHPS
2021-02-05,cabai_rawit_merah,62500.0,PIHPS
2021-02-05,daging_ayam_ras,40000.0,PIHPS
2021-02-05,daging_sapi_paha_belakang,120000.0,PIHPS
2021-02-05,daging_sapi_paha_depan,120000.0,PIHPS
2021-02-05,gula_pasir_curah,13500.0,PIHPS
2021-02-05,gula_pasir_kemasan,15500.0,PIHPS
2021-02-05,minyak_goreng_sawit_curah,13500.0,PIHPS
2021-02-05,minyak_goreng_sawit_kemasan_premium,17500.0,PIHPS
2021-02-05,telur_ayam_ras,22500.0,PIHPS
2021-02-08,bawang_merah,30000.0,PIHPS
2021-02-08,bawang_putih_honan,25000.0,PIHPS
2021-02-08,beras_medium,10000.0,PIHPS
2021-02-08,beras_premium,12000.0,PIHPS
2021-02-08,cabai_merah_besar,47500.0,PIHPS
2021-02-08,cabai_merah_keriting,55000.0,PIHPS
2021-02-08,cabai_rawit_merah,55000.0,PIHPS
2021-02-08,daging_ayam_ras,39000.0,PIHPS
2021-02-08,daging_sapi_paha_belakang,120000.0,PIHPS
2021-02-08,daging_sapi_paha_depan,120000.0,PIHPS
2021-02-08,gula_pasir_curah,13500.0,PIHPS
2021-02-08,gula_pasir_kemasan,15500.0,PIHPS
2021-02-08,minyak_goreng_sawit_curah,13500.0,PIHPS
2021-02-08,minyak_goreng_sawit_kemasan_premium,17500.0,PIHPS
2021-02-08,telur_ayam_ras,22500.0,PIHPS
2021-02-09,bawang_merah,30000.0,PIHPS
2021-02-09,bawang_putih_honan,25000.0,PIHPS
2021-02-09,beras_medium,10000.0,PIHPS
2021-02-09,beras_premium,12000.0,PIHPS
2021-02-09,cabai_merah_besar,45000.0,PIHPS
2021-02-09,cabai_merah_keriting,52500.0,PIHPS
2021-02-09,cabai_rawit_merah,55000.0,PIHPS
2021-02-09,daging_ayam_ras,39000.0,PIHPS
2021-02-09,daging_sapi_paha_belakang,120000.0,PIHPS
2021-02-09,daging_sapi_paha_depan,120000.0,PIHPS
2021-02-09,gula_pasir_curah,13500.0,PIHPS
2021-02-09,gula_pasir_kemasan,15500.0,PIHPS
2021-02-09,minyak_goreng_sawit_curah,13500.0,PIHPS
2021-02-09,minyak_goreng_sawit_kemasan_premium,17500.0,PIHPS
2021-02-09,telur_ayam_ras,22500.0,PIHPS
2021-02-10,bawang_merah,30000.0,PIHPS
2021-02-10,bawang_putih_honan,25000.0,PIHPS
2021-02-10,beras_medium,10000.0,PIHPS
2021-02-10,beras_premium,12000.0,PIHPS
2021-02-10,cabai_merah_besar,45000.0,PIHPS
2021-02-10,cabai_merah_keriting,52500.0,PIHPS
2021-02-10,cabai_rawit_merah,50000.0,PIHPS
2021-02-10,daging_ayam_ras,40000.0,PIHPS
2021-02-10,daging_sapi_paha_belakang,120000.0,PIHPS
2021-02-10,daging_sapi_paha_depan,120000.0,PIHPS
2021-02-10,gula_pasir_curah,13500.0,PIHPS
2021-02-10,gula_pasir_kemasan,15500.0,PIHPS
